iter	Passed	Remaining
0	60	60042
1	60	30169
2	60	20207
3	61	15256
4	61	12268
5	62	10272
6	62	8844
7	62	7791
8	63	6956
9	63	6291
10	63	5745
11	64	5293
12	64	4904
13	65	4577
14	65	4294
15	65	4045
16	66	3825
17	66	3629
18	66	3452
19	67	3293
20	67	3147
21	67	3015
22	68	2895
23	68	2785
24	68	2683
25	69	2591
26	69	2504
27	69	2424
28	70	2349
29	70	2279
30	70	2213
31	71	2151
32	71	2094
33	71	2042
34	72	1991
35	72	1944
36	72	1898
37	73	1855
38	73	1813
39	73	1773
40	74	1738
41	74	1702
42	74	1667
43	75	1633
44	75	1604
45	75	1574
46	76	1546
47	76	1518
48	76	1492
49	77	1466
50	77	1442
51	77	1418
52	78	1395
53	78	1373
54	78	1352
55	78	1331
56	79	1311
57	79	1292
58	79	1273
59	80	1255
60	80	1238
61	80	1221
62	81	1207
63	81	1190
64	81	1175
65	82	1160
66	82	1145
67	82	1129
68	82	1115
69	82	1102
70	83	1089
71	83	1076
72	83	1064
73	84	1052
74	84	1040
75	84	1029
76	84	1018
77	85	1008
78	85	997
79	85	987
80	86	978
81	86	969
82	86	959
83	87	950
84	87	939
85	87	930
86	87	919
87	87	911
88	88	902
89	88	894
90	88	886
91	89	885
92	90	878
93	90	870
94	90	863
95	90	855
96	91	848
97	91	840
98	91	834
99	91	827
100	92	820
101	92	812
102	92	805
103	92	799
104	93	793
105	93	787
106	93	781
107	94	776
108	94	770
109	94	765
110	94	759
111	95	754
112	95	748
113	95	743
114	95	738
115	96	733
116	96	727
117	96	723
118	96	717
119	97	712
120	97	708
121	97	703
122	97	697
123	98	693
124	98	688
125	98	684
126	98	680
127	99	675
128	99	671
129	99	667
130	100	663
131	100	659
132	100	655
133	100	652
134	101	648
135	101	644
136	101	640
137	101	636
138	102	632
139	102	629
140	102	625
141	102	621
142	103	618
143	103	614
144	103	611
145	104	608
146	104	605
147	104	601
148	104	598
149	105	595
150	105	592
151	105	589
152	105	586
153	106	583
154	106	580
155	106	577
156	107	574
157	107	571
158	107	568
159	107	566
160	108	563
161	108	560
162	108	557
163	108	555
164	109	552
165	109	550
166	109	547
167	110	545
168	110	542
169	110	540
170	110	537
171	111	535
172	111	532
173	111	530
174	111	527
175	112	525
176	112	522
177	112	520
178	113	518
179	113	516
180	113	513
181	113	510
182	113	508
183	114	506
184	114	503
185	114	501
186	114	499
187	115	497
188	115	495
189	115	493
190	116	491
191	116	489
192	116	488
193	117	486
194	117	484
195	117	482
196	117	480
197	118	478
198	118	476
199	118	474
200	118	472
201	119	471
202	119	469
203	119	467
204	120	465
205	120	463
206	120	462
207	120	460
208	121	458
209	121	456
210	121	455
211	122	453
212	122	452
213	122	450
214	123	449
215	123	447
216	123	445
217	123	444
218	124	442
219	124	440
220	124	439
221	124	438
222	125	436
223	125	434
224	125	433
225	125	431
226	126	429
227	126	428
228	126	426
229	127	425
230	127	423
231	127	422
232	127	420
233	128	419
234	128	417
235	128	416
236	128	414
237	129	413
238	129	412
239	129	410
240	129	409
241	130	407
242	130	406
243	130	405
244	130	403
245	131	402
246	131	400
247	131	399
248	132	398
249	132	396
250	132	395
251	132	394
252	133	393
253	133	391
254	133	390
255	133	389
256	134	388
257	134	386
258	134	385
259	135	384
260	135	383
261	135	382
262	135	380
263	136	379
264	136	378
265	136	377
266	136	376
267	137	374
268	137	373
269	137	372
270	138	371
271	138	370
272	138	369
273	138	367
274	139	366
275	139	365
276	139	364
277	139	363
278	140	362
279	140	361
280	140	360
281	141	359
282	141	357
283	141	356
284	141	355
285	142	354
286	142	353
287	142	352
288	142	351
289	143	350
290	143	349
291	143	348
292	143	347
293	144	346
294	144	345
295	144	344
296	144	342
297	145	341
298	145	340
299	145	339
300	145	338
301	146	337
302	146	336
303	146	335
304	147	335
305	147	334
306	147	333
307	147	332
308	148	331
309	148	330
310	148	329
311	149	328
312	149	327
313	149	326
314	149	325
315	150	325
316	150	324
317	150	323
318	150	322
319	151	321
320	151	320
321	151	319
322	152	318
323	152	318
324	152	317
325	152	316
326	153	315
327	153	314
328	153	313
329	153	312
330	154	311
331	154	311
332	154	310
333	155	309
334	155	308
335	155	307
336	156	306
337	156	306
338	156	305
339	156	304
340	157	303
341	157	303
342	157	302
343	158	301
344	158	300
345	158	299
346	158	298
347	159	298
348	159	297
349	159	296
350	159	295
351	160	295
352	160	294
353	160	293
354	161	292
355	161	291
356	161	290
357	161	290
358	162	289
359	162	288
360	162	288
361	163	287
362	163	286
363	163	285
364	163	285
365	164	284
366	164	283
367	164	283
368	165	282
369	165	281
370	165	280
371	165	280
372	166	279
373	166	278
374	166	277
375	166	277
376	167	276
377	167	275
378	167	274
379	168	274
380	168	273
381	168	272
382	168	271
383	169	271
384	169	270
385	169	269
386	170	269
387	170	268
388	170	268
389	170	267
390	171	266
391	171	266
392	171	265
393	172	264
394	172	263
395	172	263
396	172	262
397	173	261
398	173	261
399	173	260
400	173	259
401	174	259
402	174	258
403	174	257
404	175	257
405	175	256
406	175	255
407	175	255
408	176	254
409	176	253
410	176	253
411	176	252
412	177	251
413	177	251
414	177	250
415	177	249
416	178	249
417	178	248
418	178	247
419	178	247
420	179	246
421	179	245
422	179	245
423	180	244
424	180	243
425	180	243
426	180	242
427	181	241
428	181	241
429	181	240
430	181	240
431	182	239
432	182	238
