iter	Passed	Remaining
0	55	55179
1	55	27720
2	55	18592
3	56	14005
4	56	11251
5	56	9427
6	57	8117
7	57	7132
8	57	6364
9	58	5748
10	58	5247
11	58	4829
12	58	4479
13	59	4176
14	59	3910
15	59	3680
16	60	3486
17	60	3310
18	61	3161
19	61	3014
20	61	2882
21	62	2760
22	62	2648
23	62	2548
24	63	2458
25	63	2372
26	63	2294
27	63	2220
28	64	2155
29	64	2091
30	65	2032
31	65	1978
32	65	1926
33	66	1877
34	66	1829
35	66	1784
36	66	1741
37	67	1700
38	67	1662
39	67	1626
40	68	1591
41	68	1561
42	68	1530
43	69	1502
44	69	1475
45	69	1447
46	70	1421
47	70	1396
48	70	1371
49	71	1350
50	71	1327
51	71	1305
52	71	1284
53	72	1263
54	72	1244
55	72	1226
56	73	1209
57	73	1192
58	73	1176
59	74	1161
60	74	1145
61	74	1130
62	75	1115
63	75	1101
64	75	1087
65	75	1074
66	76	1061
67	76	1050
68	76	1038
69	77	1026
70	77	1014
71	77	1003
72	78	992
73	78	981
74	78	970
75	78	960
76	79	949
77	79	939
78	79	929
79	79	919
80	80	910
81	80	900
82	80	889
83	80	880
84	81	873
85	81	865
86	81	857
87	82	849
88	82	842
89	82	835
90	82	827
91	83	820
92	83	813
93	83	807
94	84	800
95	84	794
96	84	788
97	85	782
98	85	776
99	85	770
100	86	765
101	86	759
102	86	753
103	86	748
104	87	742
105	87	737
106	87	732
107	88	727
108	88	721
109	88	716
110	88	712
111	89	707
112	89	702
113	89	697
114	89	692
115	90	687
116	90	682
117	90	678
118	91	673
119	91	669
120	91	665
121	91	661
122	92	657
123	92	654
124	92	650
125	93	646
126	93	642
127	93	638
128	94	636
129	94	632
130	94	628
131	95	624
132	95	621
133	95	617
134	95	613
135	96	610
136	96	606
137	96	603
138	96	600
139	97	597
140	97	593
141	97	589
142	97	586
143	98	583
144	98	580
145	98	577
146	99	574
147	99	571
148	99	569
149	99	566
150	100	563
151	100	560
152	100	558
153	101	555
154	101	552
155	101	549
156	101	547
157	102	544
158	102	541
159	102	539
160	102	536
161	103	534
162	103	531
163	103	529
164	104	527
165	104	524
166	104	522
167	104	519
168	105	517
169	105	514
170	105	512
171	105	509
172	106	508
173	106	506
174	106	503
175	107	501
176	107	500
177	107	498
178	108	495
179	108	493
180	108	491
181	108	489
182	109	487
183	110	488
184	110	486
185	110	484
186	110	482
187	111	480
188	111	478
189	111	476
190	112	474
191	112	472
192	112	470
193	112	468
194	113	466
195	113	464
196	113	463
197	114	461
198	114	459
199	114	458
200	114	456
201	115	454
202	115	452
203	115	451
204	116	450
205	116	448
206	116	447
207	116	445
208	117	443
209	117	441
210	117	440
211	117	438
212	118	437
213	118	436
214	119	434
215	119	433
216	119	431
217	120	430
218	120	428
219	120	427
220	120	425
221	121	424
222	121	422
223	121	421
224	121	419
225	122	418
226	122	416
227	122	415
228	122	414
229	123	412
230	123	411
231	123	409
232	124	408
233	124	406
234	124	405
235	124	403
236	125	402
237	125	400
238	125	399
239	125	398
240	126	397
241	126	395
242	126	394
243	126	393
244	127	392
245	127	391
246	127	389
247	128	388
248	128	387
249	128	386
250	129	385
251	129	384
252	129	383
253	130	381
254	130	380
255	130	379
256	131	379
257	131	377
258	131	376
259	131	375
260	132	374
261	132	373
262	132	372
263	133	371
264	133	370
265	133	369
266	134	367
267	134	366
268	134	365
269	134	364
270	135	363
271	135	362
272	135	361
273	136	360
274	136	359
275	136	358
276	136	357
277	137	356
278	137	355
279	137	354
280	137	352
281	138	351
282	138	351
283	138	349
284	139	348
285	139	347
286	139	346
287	139	345
288	140	344
289	140	343
290	140	342
291	140	341
292	141	340
293	141	339
294	141	338
295	142	338
296	142	337
297	142	336
298	142	335
299	143	334
300	143	333
301	143	332
302	144	331
303	144	330
304	144	329
305	144	328
306	145	327
307	145	326
308	145	326
309	146	325
310	146	324
311	146	323
312	147	322
313	147	321
314	147	320
315	147	319
316	148	319
317	148	318
318	148	317
319	149	317
320	149	316
321	149	315
322	150	314
323	150	314
324	151	313
325	151	312
326	151	312
327	152	311
328	152	310
329	152	310
330	153	309
331	153	308
332	153	308
333	154	307
334	154	306
335	154	306
336	155	305
337	155	304
338	155	303
339	156	303
340	156	302
341	156	301
342	157	301
343	157	300
344	158	300
345	158	299
346	158	299
347	159	298
348	159	297
349	160	297
350	160	296
351	160	296
352	161	295
353	161	294
354	162	294
355	162	293
356	162	293
357	163	292
358	163	291
359	163	291
360	164	290
361	164	289
362	164	288
363	165	288
